HORA: Tue Nov 12 22:53:06 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 12 22:53:13 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 12 22:55:24 BRST 2019 | ERRO: javax.persistence.PersistenceException: org.hibernate.exception.ConstraintViolationException: could not execute statement
HORA: Tue Nov 12 22:58:59 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 12 22:59:05 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 12 22:59:23 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 12 22:59:30 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 12 23:00:19 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 12 23:12:33 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 12 23:12:42 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 12 23:13:12 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 12 23:13:15 BRST 2019 | ERRO: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
